flavor,calcium_dv,sugars,iron_dv,updated_at,full_ingredient,vitamin_a_dv,saturated_fat,protein,trans_fatty_acid,item_description,total_carbohydrate,sodium,item_name,ingredient_statement,serving_size_qty,dietary_fiber,main-ingredient,item_id,calories_from_fat,monounsaturated_fat,serving_weight_grams,calories,polyunsaturated_fat,calperunitserving,vitamin_c_dv,total_fat,cholesterol,servings_per_container,serving_size_unit
Berries,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Strawberry Banana,29,20,"Juicy Juice, Strawberry Banana","Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Strawberry Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Banana Puree, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d2fb4dcc9bff111580db97,0,0,226,120,0,15.0,120,0,0,8,fl oz
Apple,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,28,20,"Juicy Juice, Apple","Apple Juice from Concentrate (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d3008bcc9bff111580fe97,0,0,226,110,0,13.75,120,0,0,8,fl oz
Other,0,33,0,2015-08-26 08:42:15,Missing Info,0,0,0,0,,35,25,Fruit Punch Juice Blend,,1,0,Missing Info,55dd7ac096135bf21c177a32,0,0,,140,0,140.0,100,0,0,0,bottle
Other,0,26,0,2015-12-13 04:51:26,Missing Info,0,0,0,0,,28,20,Fruit Punch,,8,0,Missing Info,566cf93cfaa6c26768a23c96,0,0,,120,0,15.0,120,0,0,6,fl oz
Grape,0,23,0,2015-12-17 10:56:52,Missing Info,0,0,0,0,,25,15,Grape Juice,,1,0,Missing Info,5672937f12c3b97c5278b09f,0,0,,100,0,100.0,100,0,0,8,box
Apple,0,27,0,2016-01-02 17:21:38,Missing Info,0,0,0,0,,29,15,Apple Juice,,8,0,Missing Info,56880643a1b8c86412aa555a,0,0,,110,0,13.75,120,0,0,8,fl oz
Apple,0,26,0,2016-01-03 09:25:57,Missing Info,0,0,0,0,,28,20,Apple Juice,,8,0,Missing Info,5688e79fc702f9cf284283a7,0,0,,110,0,13.75,120,0,0,6,fl oz
Other,0,14,0,2016-01-07 13:40:34,Missing Info,0,0,0,0,,15,10,Fruit Punch,,1,0,Missing Info,568e2f230821b2017325d119,0,0,,60,0,60.0,60,0,0,8,box
Berries,0,28,0,2016-01-08 05:38:18,Missing Info,0,0,0,0,,30,20,Apple Raspberry Juice,,8,0,Missing Info,568f4909db2c6c8d3cf5b153,0,0,,120,0,15.0,120,0,0,8,fl oz
Orange,0,26,0,2016-01-09 09:30:38,Missing Info,0,0,0,0,,27,15,Orange Tangerine Juice,,1,0,Missing Info,5690d2c86edcebd6614f3c30,0,0,,110,0,110.0,100,0,0,8,box
Other,0,33,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Punch,35,25,"100% Juice, Punch","Apple Juice, Grape Juice, and Passion Fruit Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36c8a97c3e69de4b08314,0,0,,140,0,140.0,100,0,0,1,bottle
Berries,0,24,4,2014-11-24 20:24:24,Missing Info,0,0,0,0,Premium Strawberry Juice,29,15,"Strawberry Juice, Premium, Premium Strawberry Juice","Apple Juice, Grape Juice and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C).",8,0,Missing Info,51c36c8f97c3e69de4b0833c,0,0,217,120,0,15.0,120,0,0,6,oz
Other,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Punch,28,20,"100% Juice, Punch","Apple Juice, Grape Juice, and Passion Fruit Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36c8f97c3e69de4b08343,0,0,217,120,0,15.0,120,0,0,6,fl oz
Cherry,0,32,2,2014-11-24 20:24:24,Missing Info,0,0,0,0,,33,15,"Non-Frozen Concentrate, Cherry","Apple, Grape and Cherry Juice Concentrates, Water, Natural Flavors, Ascorbic Acid ( Vitamin C) This product is pasteurized.",8,0,Missing Info,51c36c9197c3e69de4b08350,0,0,54,130,0,16.25,120,0,0,6,oz
Berries,0,24,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Kiwi Strawberry,29,20,"100% Juice, Kiwi Strawberry","Apple Juice, Grape Juice, Kiwi Juice and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36c9197c3e69de4b08355,0,0,217,120,0,15.0,120,0,0,6,fl oz
Apple,0,33,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,35,25,"100% Juice, Apple","Apple Juice (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Malic Acid.",1,0,Missing Info,51c36c9b97c3e69de4b083b3,0,0,,140,0,140.0,100,0,0,1,bottle
Grape,0,28,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Grape,29,20,"100% Juice, Grape","Apple Juice, and Grape Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36c9f97c3e69de4b083d3,0,0,217,120,0,15.0,120,0,0,6,fl oz
Berries,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Berry,24,15,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36ca797c3e69de4b0841d,0,0,,100,0,100.0,100,0,0,8,box
Cherry,0,14,2,2014-11-24 20:24:24,Missing Info,0,0,0,0,Cherry,15,10,"Juice, Cherry","Apple Juice, Grape Juice, and Cherry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cac97c3e69de4b08440,0,0,,60,0,60.0,100,0,0,0,box
Berries,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Cranberry Apple,31,25,"Premium 100% Juice, Cranberry Apple","Apple Juice, Grape Juice, and Cranberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cae97c3e69de4b0844c,0,0,226,120,0,15.0,120,0,0,8,oz
Apple,0,20,0,2014-11-24 20:24:24,Missing Info,0,10,0,0,Sparkling Apple Flavored,21,0,"Juice Beverage, Sparkling Apple Flavored","Apple Juice (Water, Juice Concentrate), Water, and Less than 0.5% of Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C), Carbonation Added. Gluten free.",1,0,Missing Info,51c36cbb97c3e69de4b084bb,0,0,,90,0,90.0,20,0,0,4,can
Apple,0,14,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,15,10,"Juice, Apple","Apple Juice (Water, Juice Concentrate) Ascorbic Acid (Vitamin C) Malic Acid.",1,0,Missing Info,51c36cbe97c3e69de4b084cf,0,0,,60,0,60.0,100,0,0,12,box
Peach,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Peach,29,20,"Juice, Peach","Apple Juice, Grape Juice, Peach Juice, and Peach Puree (Water, Juice and Puree Concentrates), Natural Flavor, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cc097c3e69de4b084e0,0,0,217,120,0,15.0,120,0,0,6,fl oz
Berries,0,19,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,"Immunity, Berry",24,20,"Fruit Juice Beverage, Immunity, Berry","Apple Juice, Grape Juice and Raspberry Juice (Water, Juice Concentrates), Water, and Less than 2% of Natural Flavors, Gum Acacia (a Source of Dietary Fiber), Ascorbic Acid (Vitamin C), Citric Acid, Zinc Gluconate. Gluten free.",8,3,Missing Info,51c36cc497c3e69de4b08507,0,0,239,100,0,12.5,100,0,0,4,fl oz
Berries,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Strawberry Banana,29,20,"100% Juice, Strawberry Banana","Apple Juice, Grape Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Banana Pure, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cc997c3e69de4b08531,0,0,217,120,0,15.0,120,0,0,6,fl oz
Orange,0,24,2,2014-11-24 20:24:24,Missing Info,0,0,0,0,,26,10,Orange Tangerine Juice,"Apple Juice, Grape Juice, Orange Juice, Tangerine Juice (Water, Juice Concentrates), Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C), Beat Carotene (Color).",1,0,Missing Info,51c36cd497c3e69de4b085a9,0,0,,110,0,110.0,100,0,0,0,box
Berries,0,14,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Berry,15,10,"Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cd797c3e69de4b085c5,0,0,,60,0,60.0,100,0,0,12,box
Orange,0,31,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Orange Tangerine,32,25,"100% Juice, Orange Tangerine","Apple Juice, Grape Juice, Pear Juice, Orange Juice, and Tangerine Juice (Water, Juice Concentrate), Naturals Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36ce797c3e69de4b08665,0,0,217,130,0,16.25,120,0,0,6,oz
Other,0,14,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Punch Splash Flavored,14,0,"Juice Beverage Blend, Punch Splash","Water, Apple Juice From Concentrate (Water, Juice Concentrate), Pear Juice From Concentrate (Water, Juice Concentrate), Grape Juice From Concentrate (Water, Juice Concentrate), Passion Fruit Juice From Concentrate (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cea97c3e69de4b08683,0,0,,60,0,60.0,100,0,0,8,box
Apple,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,28,20,"100% Juice, Apple","Apple Juice from Concentrate (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d2fb56cc9bff111580dbe0,0,0,226,110,0,13.75,120,0,0,6,fl oz
Other,0,14,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Punch,15,10,"100% Juice, Punch","Apple Juice, Grape Juice, and Passion Fruit Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51d30081cc9bff111580fe65,0,0,,60,0,60.0,100,0,0,8,box
Grape,0,28,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Grape,29,20,"Juicy Juice Flavored Juice Blend, Grape","Apple Juice and Grape Juice (Water, Juice Concentrates), and less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d3008bcc9bff111580fe98,0,0,226,120,0,15.0,120,0,0,8,fl oz
Apple,0,13,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,"Flavored, Apple Quench",14,10,"Juice Beverage, Apple Quench","Apple Juice from Concentrate (Water, Juice Concentrate), Water, Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51d300aacc9bff111580ff46,0,0,,60,0,60.0,100,0,0,8,box
Berries,0,7,0,2015-05-19 08:00:57,Missing Info,0,0,0,0,,9,0,"Freezer Pops, Kiwi-Strawberry",,1,0,Missing Info,555aecf594b672284ac2390d,0,0,57,35,0,35.0,0,0,0,12,pop
Grape,0,7,0,2015-06-24 02:10:29,Missing Info,0,0,0,0,,9,0,"Freezer Pops, Grape Splash",,1,0,Missing Info,558a10d1c1aa12d129a2811c,0,0,57,35,0,35.0,0,0,0,12,pop
Cherry,0,27,0,2015-08-26 16:49:01,Missing Info,0,0,0,0,,29,20,"100% Juice, Cherry",,8,0,Missing Info,55ddeba4323c2b860f6fda7e,0,0,,120,0,15.0,120,0,0,8,fl oz
Berries,0,24,0,2015-09-24 02:59:16,Missing Info,0,0,0,0,,29,20,Kiwi Strawberry Juice,,8,0,Missing Info,560364cbf021dc060bfce318,0,0,,120,0,15.0,120,0,0,8,fl oz
Other,0,26,0,2015-10-19 16:57:56,Missing Info,0,0,0,0,,28,20,Fruit Punch,,8,0,Missing Info,56251f12cfc3c22961410d9c,0,0,,120,0,15.0,120,0,0,16,fl oz
Orange,0,16,0,2015-12-22 02:48:38,Missing Info,0,0,0,0,,17,15,Orange Tangerine Juice,,1,0,Missing Info,5678ba063893a666753a1248,0,0,0,70,0,70.0,60,0,0,8,box
Berries,0,27,0,2016-01-06 05:18:14,Missing Info,0,0,0,0,,29,20,Berry Juice,,8,0,Missing Info,568ca33e486dc7751f9e3223,0,0,,120,0,15.0,120,0,0,8,fl oz
Grape,0,34,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,White Grape,38,25,"100% Juice, White Grape","White Grape Juice and Apple Juice (Water, Juice Concentrates), Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C).",8,0,Missing Info,51c36c9097c3e69de4b0834a,0,0,217,150,0,18.75,120,0,0,6,fl oz
Grape,2,27,2,2014-11-24 20:24:24,Missing Info,10,0,1,0,Grape,28,80,"100% Fruit & Veggie Juice, Grape","Grape Juice, and Carrot Juice (Water, Juice Concentrates), Natural Flavors, Fruit & Vegetable Juice for Color. Ascorbic Acid (Vitamin C), Beta Carotene.",8,0,Missing Info,51c36c9897c3e69de4b08399,0,0,217,120,0,15.0,120,0,0,6,oz
Grape,0,34,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,White Grape,38,25,"100% Juice, White Grape","Apple Juice and White Grape Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C).",8,0,Missing Info,51c36c9a97c3e69de4b083ad,0,0,226,150,0,18.75,120,0,0,8,fl oz
Other,2,24,2,2014-11-24 20:24:24,Missing Info,10,0,0,0,Tropical Punch,25,70,"100% Fruit & Veggie Juice, Tropical Punch","Grape Juice, Apple Juice, Carrot Juice, and Passionfruit Juice (Water, Juice Concentrates), Sweet Potato Puree, Natural Flavors, Vegetable Juice for Color, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36caa97c3e69de4b08433,0,0,217,110,0,13.75,120,0,0,6,oz
Other,0,13,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Punch,15,10,"Juice Drink, Punch","Apple Juice, Grape Juice, and Passion Fruit Juice (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cac97c3e69de4b08442,0,0,,60,0,60.0,100,0,0,1,box
Berries,0,14,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Berry Cherry Burst,14,0,"Juice Beverage Blend, Berry Cherry Burst","Water, Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Raspberry Juice from Concentrate (Water, Juice Concentrate), Cherry Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cb997c3e69de4b084a1,0,0,,60,0,60.0,100,0,0,8,box
Grape,0,28,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Grape,29,20,"100% Juice, Grape","Apple Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cba97c3e69de4b084aa,0,0,226,120,0,15.0,120,0,0,6,fl oz
Mango,0,29,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,,31,20,Mango Juice,"Apple Juice, Grape Juice, and Mango Puree (Water, Juice and Puree Concentrates), Natural Flavor, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cbf97c3e69de4b084d8,0,0,217,120,0,15.0,120,0,0,6,fl oz
Melon,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Watermelon Madness,25,15,"J - Max, Watermelon Madness","Apple Juice, Grape Juice, Rapsberry Juice, Watermelon Juice, (Water, Juice Concentrates), Citric Acid, Natural Flavors, Ascorbic Acid, (Vitamin C).",1,0,Missing Info,51c36cc497c3e69de4b08505,0,0,,100,0,100.0,100,0,0,10,pouch
Apple,0,9,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,10,10,"Fruit Juice Beverage, Apple","Apple Juice (Water, Juice Concentrate), Water, and Less than 0.5% of Pectin, Ascorbic Acid (Vitamin C), Fish Oil (Tuna) [a Source of Omega-3], Malic Acid, Gellan Gum. Gluten free.",4,0,Missing Info,51c36cc597c3e69de4b0850c,0,0,120,40,0,10.0,100,0,0,8,fl oz
Berries,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Berry,29,20,"100% Juice, Berry","Apple Juice, Grape Juice, Pear Juice, and Raspberry Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cc797c3e69de4b08526,0,0,217,120,0,15.0,120,0,0,6,fl oz
Apple,0,18,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,"Immunity, Apple",23,20,"Fruit Juice Beverage, Immunity, Apple","Apple Juice (Water, Juice Concentrate), Water, and Less than 2% of Gum Acacia (a Source of Dietary Fiber), Ascorbic Acid (Vitamin C), Malic Acid, Zinc Gluconate. Gluten free.",8,3,Missing Info,51c36ccf97c3e69de4b0857e,0,0,239,100,0,12.5,100,0,0,4,fl oz
Orange,0,16,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Orange Tangerine,17,15,"Juice, Orange Tangerine","Apple Juice, Grape Juice, Pear Juice, Orange Juice, and Tangerine Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cd697c3e69de4b085b6,0,0,,70,0,70.0,100,0,0,8,box
Berries,0,13,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Kiwi Strawberry,15,10,"Premium 100% Juice, Kiwi Strawberry","Apple Juice, Grape Juice, Kiwi Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cd797c3e69de4b085bc,0,0,,60,0,60.0,100,0,0,0,box
Other,0,13,2,2014-11-24 20:24:24,Missing Info,0,0,0,0,Punch,15,5,"Premium 100% Juice, Punch","Apple Juice, Grape Juice, Passion Fruit Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid, (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cd997c3e69de4b085d6,0,0,,60,0,60.0,100,0,0,4,box
Grape,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Grape,25,15,"Juice, Grape","Apple Juice, Grape Juice, and Pear Juice (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cde97c3e69de4b08604,0,0,,100,0,100.0,100,0,0,1,box
Other,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Tropical,29,20,"100% Juice, Tropical","Apple Juice, Pear Juice, Pineapple Juice, and Mango Puree (Water, Juice and Puree Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36ce497c3e69de4b08642,0,0,226,120,0,15.0,120,0,0,8,fl oz
Apple,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,29,20,"100% Juice Concentrate, Apple","Apple Juice Concentrate, Water, Ascorbic Acid (Vitamin C), Citric Acid.",60,0,Missing Info,51c547a397c3e6efadd5f025,0,0,,120,0,2.0,120,0,0,6,mL
Berries,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,"Flavored, Berry",29,20,"Juicy Juice Flavored Juice Blend, Berry","Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Raspberry Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d2fb49cc9bff111580db7a,0,0,226,120,0,15.0,120,0,0,8,fl oz
Other,0,22,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Fruit Punch,24,15,"Juice Blend, Fruit Punch","Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Passion Fruit Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51d30081cc9bff111580fe67,0,0,,100,0,100.0,100,0,0,8,box
Mango,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Mango,29,20,"100% Juice, Mango","Apple Juice, Pear Juice, and Mango Puree (Water, Juice and Puree Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d3009acc9bff111580fed0,0,0,226,120,0,15.0,120,0,0,8,fl oz
Other,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Fruit Punch,28,20,"100% Juice, Fruit Punch","Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Passion Fruit Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",240,0,Missing Info,51d300b0cc9bff111580ff74,0,0,226,120,0,0.5,120,0,0,6,ml
Berries,0,10,0,2015-09-28 00:57:30,Missing Info,0,0,0,0,,11,10,"Splashers, Berry Lemonade",,1,0,Missing Info,56088e864ea03b232e910972,0,0,,45,0,45.0,100,0,0,10,pouch
Other,0,10,0,2015-09-29 06:50:46,Missing Info,0,0,0,0,,11,10,Fruit Punch,,1,0,Missing Info,560a346db150693428017dd0,0,0,,45,0,45.0,100,0,0,10,pouch
Apple,0,26,0,2015-12-10 06:50:57,Missing Info,0,0,0,0,,28,20,Apple Juice,,8,0,Missing Info,56692030d430b08e06ddcccf,0,0,,110,0,13.75,120,0,0,16,fl oz
Other,0,10,0,2015-12-13 04:53:31,Missing Info,0,0,0,0,,11,10,Splashers Fruit Juice,,1,0,Missing Info,566cf8bdb8dd5ed14c970a0d,0,0,,45,0,45.0,100,0,0,10,pouch
Other,0,26,0,2015-12-27 00:54:41,Missing Info,0,0,0,0,,28,20,Fruit Punch,,8,0,Missing Info,567f35b0829da94e31678646,0,0,,120,0,15.0,120,0,0,8,fl oz
